Tournament,PlayerID,Name,FName,Club,Lineup,Position,Price
1126770,4665343,Valencia,Enner,ECU,expected,forward,8.4
1126770,4665344,Rodriguez,Kevin,ECU,possible,forward,8.2
1126770,4665345,Caicedo,Jordy,ECU,unexpected,forward,8
1126770,4665376,Trafford,James,ENG,unexpected,goalkeeper,12.7
1126770,4665377,Henderson,Dean,ENG,unexpected,goalkeeper,12.8
1126770,4665378,Pickford,Jordan,ENG,expected,goalkeeper,12.9
1126770,4665380,Burn,Dan,ENG,unexpected,defender,11.9
1126770,4665384,Guehi,Marc,ENG,expected,defender,12.3
1126770,4665385,James ,Reece,ENG,injured,defender,12.6
1126770,4665386,Konsa,Ezri,ENG,expected,defender,12.4
1126770,4665387,Stones,John,ENG,unexpected,defender,12
1126770,4665392,Watkins,Ollie,ENG,unexpected,forward,13.2
1126770,4665393,Eze,Eberechi,ENG,unexpected,midfielder,12.6
1126770,4665394,Gordon,Anthony,ENG,possible,midfielder,13
1126770,4665399,Rashford,Marcus,ENG,expected,midfielder,13.5
1126770,4665400,Rogers,Morgan,ENG,unexpected,midfielder,12.7
1126770,4665401,Anderson,Elliot,ENG,expected,midfielder,12
1126770,4665402,Rice,Declan,ENG,expected,midfielder,12.8
1126770,4665403,Bellingham,Jude,ENG,expected,midfielder,14.1
1126770,4665404,Madueke,Noni,ENG,unexpected,midfielder,13.1
1126770,4665406,Saka,Bukayo,ENG,expected,midfielder,13.7
1126770,4665409,Kane,Harry,ENG,expected,forward,14.4
1126770,4665410,Henderson,Jordan,ENG,unexpected,midfielder,11.8
1126770,4665411,Kounde,Jules,FRA,expected,defender,11.5
1126770,4665412,Konate,Ibrahima,FRA,unexpected,defender,10.9
1126770,4665413,Hernandez,Lucas,FRA,unexpected,defender,10.7
1126770,4665414,Gusto,Malo,FRA,unexpected,defender,11.2
1126770,4665415,Digne,Lucas,FRA,possible,defender,11.4
1126770,4665416,Upamecano,Dayot,FRA,expected,defender,11.1
1126770,4665418,Samba,Brice,FRA,unexpected,goalkeeper,11.7
1126770,4665419,Saliba,William,FRA,expected,defender,11
1126770,4665420,Maignan,Mike,FRA,expected,goalkeeper,11.8
1126770,4665421,Hernandez,Theo,FRA,expected,defender,11.3
1126770,4665422,Lacroix,Maxence,FRA,unexpected,defender,10.8
1126770,4665424,Zaire-Emery,Warren,FRA,unexpected,midfielder,10.6
1126770,4665425,Kone,Manu,FRA,possible,midfielder,10.8
1126770,4665427,Tchouameni,Aurelien,FRA,expected,midfielder,10.9
1126770,4665431,Olise,Michael,FRA,expected,midfielder,14.2
1126770,4665433,Akliouche,Maghnes,FRA,unexpected,midfielder,12.7
1126770,4665434,Mateta,Jean-Philippe,FRA,unexpected,forward,13.1
1126770,4665435,Rabiot,Adrien,FRA,expected,midfielder,12.2
1126770,4665436,Kante,N'Golo,FRA,unexpected,midfielder,10.7
1126770,4665437,Cherki,Rayan,FRA,unexpected,midfielder,12.9
1126770,4665438,Doue,Desire,FRA,expected,midfielder,13.6
1126770,4665440,Dembele,Ousmane,FRA,expected,midfielder,14.7
1126770,4665441,Barcola,Bradley,FRA,unexpected,midfielder,13.8
1126770,4665443,Thuram,Marcus,FRA,unexpected,forward,13.3
1126770,4665444,Mbappe,Kylian,FRA,expected,forward,14.8
1126770,4665445,Kimmich,Joshua,GER,expected,defender,11.4
1126770,4665446,Thiaw,Malick,GER,unexpected,defender,10.5
1126770,4665447,Anton,Waldemar,GER,unexpected,defender,10.6
1126770,4665448,Rudiger ,Antonio,GER,expected,defender,10.7
1126770,4665449,Brown,Nathaniel,GER,expected,defender,11.3
1126770,4665451,Schlotterbeck,Nico,GER,injured,defender,10.9
1126770,4665452,Raum,David,GER,possible,defender,11
1126770,4665454,Tah,Jonathan,GER,expected,defender,10.8
1126770,4665455,Nubel,Alexander,GER,unexpected,goalkeeper,11.5
1126770,4665456,Baumann,Oliver,GER,unexpected,goalkeeper,11.6
1126770,4665461,Gross,Pascal,GER,unexpected,midfielder,11.9
1126770,4665463,Wirtz,Florian,GER,expected,midfielder,13.7
1126770,4665464,Stiller,Angelo,GER,unexpected,midfielder,10.4
1126770,4665465,Goretzka,Leon,GER,unexpected,midfielder,12.3
1126770,4665466,Musiala,Jamal,GER,expected,midfielder,13.5
1126770,4665467,Pavlovic,Aleksandar,GER,expected,midfielder,10.6
1126770,4665471,Woltemade,Nick,GER,unexpected,forward,12.7
1126770,4665472,Sane,Leroy,GER,expected,midfielder,13.2
1126770,4665476,Undav,Deniz,GER,possible,forward,14.3
1126770,4665478,Beier,Maximilian,GER,unexpected,forward,12.6
1126770,4665479,Havertz,Kai,GER,expected,forward,14
1126770,4665602,Diallo,Amad,CIV,possible,midfielder,8
1126770,4665603,Kossounou,Odilon,CIV,expected,defender,5.2
1126770,4665604,Inao Oulai,Christ,CIV,expected,midfielder,5.5
1126770,4665605,Agbadou,Emmanuel,CIV,expected,defender,5
1126770,4665606,Konan,Ghislain,CIV,expected,defender,5.1
1126770,4665607,Diomande,Ousmane,CIV,possible,defender,4.9
1126770,4665608,Pepe,Nicolas,CIV,expected,midfielder,8.1
1126770,4665611,Toure,Bazoumana,CIV,unexpected,midfielder,7
1126770,4665613,Operi,Christopher,CIV,unexpected,defender,4.8
1126770,4665614,Kessie,Franck,CIV,expected,midfielder,7.7
1126770,4665615,Lafont,Alban,CIV,unexpected,goalkeeper,5.6
1126770,4665616,Fofana,Seko,CIV,unexpected,midfielder,5.6
1126770,4665617,Ndicka,Evan,CIV,unexpected,defender,4.7
1126770,4665618,Kone,Mohamed,CIV,unexpected,goalkeeper,5.7
1126770,4665619,Seri,Jean-Michael ,CIV,unexpected,midfielder,5.4
1126770,4665620,Doue,Guela,CIV,expected,defender,5.3
1126770,4665621,Sangare,Ibrahim,CIV,expected,midfielder,6.4
1126770,4665622,Fofana,Yahia,CIV,expected,goalkeeper,5.8
1126770,4665623,Diomande,Yan,CIV,expected,midfielder,7.9
1126770,4665624,Adingra,Simon,CIV,unexpected,midfielder,7.2
1126770,4665626,Singo,Wilfried,CIV,unexpected,defender,5.5
1126770,4665633,Diakite,Oumar,CIV,unexpected,forward,6.7
1126770,4665635,Wahi,Elye,CIV,unexpected,forward,6.9
1126770,4665636,Guessand,Evann,CIV,unexpected,forward,7.3
1126770,4665701,Vasquez,Johan,MEX,expected,defender,8.9
1126770,4665702,Acevedo,Carlos,MEX,unexpected,goalkeeper,9.2
1126770,4665707,Gallardo,Jesus,MEX,expected,defender,9.1
1126770,4665708,Reyes,Israel,MEX,expected,defender,9
1126770,4665709,Montes,Cesar,MEX,expected,defender,8.8
1126770,4665710,Chavez,Mateo,MEX,unexpected,defender,8.7
1126770,4665711,Rangel,Raul,MEX,expected,goalkeeper,9.4
1126770,4665712,Ochoa,Guillermo,MEX,unexpected,goalkeeper,9.3
1126770,4665713,Sanchez,Jorge,MEX,possible,defender,9.2
1126770,4665715,Mora,Gilberto,MEX,possible,midfielder,8
1126770,4665717,Chavez,Luis,MEX,unexpected,midfielder,7.9
1126770,4665718,Lira,Erik,MEX,expected,midfielder,8.4
1126770,4665719,Romo,Luis,MEX,possible,midfielder,9.1
1126770,4665720,Alvarez,Edson,MEX,possible,midfielder,8.5
1126770,4665721,Pineda,Orbelin,MEX,unexpected,midfielder,8.7
1126770,4665722,Fidalgo,Alvaro,MEX,expected,midfielder,8.3
1126770,4665723,Vargas,Obed,MEX,unexpected,midfielder,7.8
1126770,4665724,Gutierrez,Brian,MEX,expected,midfielder,8.1
1126770,4665726,Vega,Alexis,MEX,unexpected,midfielder,9.4
1126770,4665727,Quinones,Julian,MEX,expected,forward,9.7
1126770,4665728,Alvarado,Roberto,MEX,expected,midfielder,9.5
1126770,4665729,Gimenez,Santiago,MEX,unexpected,forward,9.3
1126770,4665730,Jimenez,Raul,MEX,expected,forward,9.6
1126770,4665732,Huerta,Cesar,MEX,unexpected,midfielder,9.2
1126770,4665733,Gonzalez,Armando,MEX,unexpected,forward,8.9
1126770,4665735,Mazraoui,Noussair,MAR,expected,defender,5.8
1126770,4665737,Belammari,Youssef,MAR,unexpected,defender,5.3
1126770,4665738,Hakimi,Achraf,MAR,expected,defender,6.4
1126770,4665743,Salah-Eddine,Anass,MAR,possible,defender,5.6
1126770,4665744,El Kajoui,Munir,MAR,unexpected,goalkeeper,6.1
1126770,4665745,Bounou,Yassine,MAR,expected,goalkeeper,6.2
1126770,4665746,Riad,Chadi,MAR,expected,defender,5.9
1126770,4665748,Amrabat,Sofyan,MAR,unexpected,midfielder,5.4
1126770,4665749,Saibari,Ismael,MAR,expected,midfielder,7.8
1126770,4665751,Ounahi,Azzedine,MAR,expected,midfielder,7
1126770,4665753,El Khannouss,Bilal,MAR,expected,midfielder,7.3
1126770,4665754,Diaz,Brahim,MAR,expected,midfielder,7.6
1126770,4665755,El Ouahdi,Zakaria,MAR,unexpected,defender,5.4
1126770,4665756,El Aynaoui,Neil,MAR,expected,midfielder,6.1
1126770,4665758,Rahimi,Soufiane,MAR,possible,midfielder,7.5
1126770,4665762,El Kaabi,Ayoub,MAR,unexpected,forward,6.9
1126770,4665765,Verbruggen,Bart,NED,expected,goalkeeper,9
1126770,4665766,Flekken,Mark,NED,unexpected,goalkeeper,8.9
1126770,4665768,Hato,Jorrel,NED,unexpected,defender,8.2
1126770,4665769,Gakpo,Cody,NED,expected,midfielder,10.2
1126770,4665770,van Dijk,Virgil,NED,expected,defender,8.8
1126770,4665771,Ake,Nathan,NED,possible,defender,8.3
1126770,4665772,Kluivert,Justin,NED,unexpected,midfielder,8.4
1126770,4665774, van Hecke,Jan Paul,NED,expected,defender,8.6
1126770,4665775,Reijnders,Tijjani,NED,expected,midfielder,8.9
