Tournament,PlayerID,Name,FName,Club,Lineup,Position,Price
1126770,4686370,Medina,Yaimar,ECU,unexpected,defender,7.1
1126770,4686371,Valencia,Anthony,ECU,unexpected,midfielder,7
1126770,4686372,Johansson,Herman,SWE,unexpected,midfielder,3.4
1126770,4686497,Sapoko Ndiaye,Bara,SEN,unexpected,midfielder,5.5
1126770,4686498,Olveira,Gaston,PAR,unexpected,goalkeeper,4.2
1126770,4686499,Maidana,Alexandro,PAR,unexpected,defender,3.4
1126770,4686500,Canale,Jose,PAR,expected,defender,3.3
1126770,4686516,Jurkas,Mladen,BIH,unexpected,goalkeeper,4.5
1126770,4687281,Ouedraogo,Assan,GER,unexpected,midfielder,10.3
1126770,4688051,Saadane,Marwane,MAR,unexpected,defender,5.2
1126770,4688052,Sbai,Amine,MAR,unexpected,midfielder,5.5
1126770,4692466,Chalobah ,Trevoh,ENG,unexpected,defender,11.8
